word,row,col,page,identifier,is_dir,link,sim_score,accueil,5,5
ménage,0,1,default2,ménage@default2,NO,,0.3500439900646023
théâtre,3,1,default2,théâtre@default2,NO,,0.4027416389569135
arabe,1,2,default2,arabe@default2,NO,,0.32616041557516395
responsable,4,1,default2,responsable@default2,NO,,0.3712002426457679
sport,0,2,default2,sport@default2,NO,,0.4071115038255113
parent,1,3,default2,parent@default2,NO,,0.3481218737989973
default73,4,2,default3,default73@default3,DIR,default73,0
gâteau,1,4,default3,gâteau@default3,NO,,0.38630109176076033
repas,4,1,default3,repas@default3,NO,,0.4015851209327792
gourmand,3,3,default3,gourmand@default3,NO,,0.35281827954355605
anniversaire,0,2,default3,anniversaire@default3,NO,,0.38655172560787576
match,3,1,default3,match@default3,NO,,0.44014443220748756
gratuit,4,0,default3,gratuit@default3,NO,,0.34847776599535063
football,0,1,default3,football@default3,NO,,0.41045938372360735
default62,0,3,default3,default62@default3,DIR,default62,0
cham,0,4,default3,cham@default3,NO,,0.2629965249268027
concours,2,4,default3,concours@default3,NO,,0.3859277846812652
tout-petit,2,0,default3,tout-petit@default3,NO,,0.3078051605875646
prochain,1,3,default3,prochain@default3,NO,,0.3842091338902721
concert,3,4,default3,concert@default3,NO,,0.39725131883245945
basket,0,0,default3,basket@default3,NO,,0.3803372924063593
rugby,2,2,default3,rugby@default3,NO,,0.39298582831754547
jeu,1,0,default3,jeu@default3,NO,,0.43366882261793416
default28,1,2,default3,default28@default3,DIR,default28,0
tondeur,3,0,default3,tondeur@default3,NO,,0.28245569742783705
but,1,1,default3,but@default3,NO,,0.3537395658536744
tournoi,4,3,default3,tournoi@default3,NO,,0.44772836570312113
noël,2,3,default3,noël@default3,NO,,0.38055478845780943
numéro,4,4,default3,numéro@default3,NO,,0.34031429379929434
midi,3,2,default3,midi@default3,NO,,0.3626568873138345
stage,2,1,default3,stage@default3,NO,,0.3765915248427786
tristan,1,3,default4,tristan@default4,NO,,0.399646930003267
default81,0,0,default4,default81@default4,DIR,default81,0
default90,4,2,default4,default90@default4,DIR,default90,0
ange,2,2,default4,ange@default4,NO,,0.3611669231031588
buffalo,4,3,default4,buffalo@default4,NO,,0.3467139593009254
titi,3,2,default4,titi@default4,NO,,0.43614000802050545
lolo,2,0,default4,lolo@default4,NO,,0.4057964296149371
elfine,1,0,default4,elfine@default4,NO,,0.2943558484820259
tommy,0,1,default4,tommy@default4,NO,,0.40115832968824094
richard,3,0,default4,richard@default4,NO,,0.3862597615783243
médor,0,2,default4,médor@default4,NO,,0.38858573593550927
oscar,4,1,default4,oscar@default4,NO,,0.352642508436392
tintin,2,3,default4,tintin@default4,NO,,0.37276588810993583
oisillon,2,4,default4,oisillon@default4,NO,,0.3516636811734043
piou,1,1,default4,piou@default4,NO,,0.40117825392874606
margaux,4,0,default4,margaux@default4,NO,,0.369825980355894
axel,2,1,default4,axel@default4,NO,,0.39460547233588306
filou,0,3,default4,filou@default4,NO,,0.3963333892180878
pitou,1,4,default4,pitou@default4,NO,,0.3870362644641411
néo,1,2,default4,néo@default4,NO,,0.30285174329123155
default98,0,4,default4,default98@default4,DIR,default98,0
mimi,3,1,default4,mimi@default4,NO,,0.3891995103534174
toby,3,3,default4,toby@default4,NO,,0.3985297853625872
bob,4,4,default4,bob@default4,NO,,0.3854439261311531
albertine,3,4,default4,albertine@default4,NO,,0.3510673642246135
faux,3,4,default5,faux@default5,NO,,0.4355870729086102
default94,4,4,default5,default94@default5,DIR,default94,0
ragot,4,3,default5,ragot@default5,NO,,0.3708398856628281
bouse,2,4,default5,bouse@default5,NO,,0.38577669855602426
mauvais,1,2,default5,mauvais@default5,NO,,0.4442776166785254
idiot,0,2,default5,idiot@default5,NO,,0.5092379254926677
horrible,2,1,default5,horrible@default5,NO,,0.4691600676077776
ridicule,0,3,default5,ridicule@default5,NO,,0.49364529861291995
portable,3,1,default5,portable@default5,NO,,0.36230199615765757
caca,3,0,default5,caca@default5,NO,,0.41019506901412006
abruti,4,2,default5,abruti@default5,NO,,0.47545415802604285
gros,1,1,default5,gros@default5,NO,,0.4300970936850256
mignon,0,0,default5,mignon@default5,NO,,0.4365423775803352
menteur,1,3,default5,menteur@default5,NO,,0.40922335330432
rigolo,4,0,default5,rigolo@default5,NO,,0.4961292329662027
cher,3,2,default5,cher@default5,NO,,0.41242039629931926
énervant,2,3,default5,énervant@default5,NO,,0.46703043675065004
default64,2,0,default5,default64@default5,DIR,default64,0
vulgaire,0,4,default5,vulgaire@default5,NO,,0.4847436224895021
préféré,0,1,default5,préféré@default5,NO,,0.36719151507360204
conte,1,0,default5,conte@default5,NO,,0.361743950941512
default76,2,2,default5,default76@default5,DIR,default76,0
zombie,4,1,default5,zombie@default5,NO,,0.3566474718131366
meilleur,1,4,default5,meilleur@default5,NO,,0.39123762924151384
amen,3,3,default5,amen@default5,NO,,0.31563802417218556
raison,2,0,default6,raison@default6,NO,,0.41875216285794403
default36,0,3,default6,default36@default6,DIR,default36,0
confiance,1,2,default6,confiance@default6,NO,,0.3644883850124999
peine,4,2,default6,peine@default6,NO,,0.34830433607212186
default82,0,1,default6,default82@default6,DIR,default82,0
rencontre,3,3,default6,rencontre@default6,NO,,0.37875093088497547
noter,2,3,default6,noter@default6,NO,,0.364323941089266
pose,2,1,default6,pose@default6,NO,,0.3479286945325043
compte,4,0,default6,compte@default6,NO,,0.3731553197541989
discussion,2,2,default6,discussion@default6,NO,,0.37902948761970534
propos,4,4,default6,propos@default6,NO,,0.36380346896578164
personnellement,3,0,default6,personnellement@default6,NO,,0.3833470687008834
loi,1,4,default6,loi@default6,NO,,0.3117390206656552
conversation,2,4,default6,conversation@default6,NO,,0.38840723472743766
suite,0,4,default6,suite@default6,NO,,0.37185931060693067
amurer,0,0,default6,amurer@default6,NO,,0.2785920511582587
grâce,3,2,default6,grâce@default6,NO,,0.37839621679666446
lance,3,4,default6,lance@default6,NO,,0.32915161530719184
confidence,4,3,default6,confidence@default6,NO,,0.3702221083536048
automatiquement,4,1,default6,automatiquement@default6,NO,,0.3104348694080308
type,1,1,default6,type@default6,NO,,0.3403891449000953
note,3,1,default6,note@default6,NO,,0.3987753177863005
part,1,0,default6,part@default6,NO,,0.42562825168775587
indice,0,2,default6,indice@default6,NO,,0.30705001997223247
existence,1,3,default6,existence@default6,NO,,0.37127523299168597
revenu,4,3,default7,revenu@default7,NO,,0.3810936733081032
quasiment,0,4,default7,quasiment@default7,NO,,0.4004420327752988
default26,4,2,default7,default26@default7,DIR,default26,0
default49,0,3,default7,default49@default7,DIR,default49,0
default47,0,2,default7,default47@default7,DIR,default47,0
été,1,3,default7,été@default7,NO,,0.3503569926860096
franc,0,0,default7,franc@default7,NO,,0.35243972618865727
paradis,3,3,default7,paradis@default7,NO,,0.34362736533181193
pic,4,0,default7,pic@default7,NO,,0.32774386579120574
disparu,0,1,default7,disparu@default7,NO,,0.35908368978992766
milliard,2,1,default7,milliard@default7,NO,,0.38659895219963303
pays,2,2,default7,pays@default7,NO,,0.36688271673736206
presque,2,0,default7,presque@default7,NO,,0.41482480897710106
million,3,2,default7,million@default7,NO,,0.4023694125944721
