word,row,col,page,identifier
chéri,3,32,accueil,chéri@accueil
grand-mère,3,33,accueil,grand-mère@accueil
accoucher,3,34,accueil,accoucher@accueil
nier,3,35,accueil,nier@accueil
quatre-vingt-dix-neuf,3,36,accueil,quatre-vingt-dix-neuf@accueil
continu,3,37,accueil,continu@accueil
double,3,38,accueil,double@accueil
étiquette,3,39,accueil,étiquette@accueil
brun,3,40,accueil,brun@accueil
magnifique,3,41,accueil,magnifique@accueil
mariage,3,42,accueil,mariage@accueil
siège,4,0,accueil,siège@accueil
épingle,4,1,accueil,épingle@accueil
rigolo,4,2,accueil,rigolo@accueil
bras,4,3,accueil,bras@accueil
toile,4,4,accueil,toile@accueil
mignon,4,5,accueil,mignon@accueil
villageois,4,6,accueil,villageois@accueil
sang,4,7,accueil,sang@accueil
aubergiste,4,8,accueil,aubergiste@accueil
menthe,4,9,accueil,menthe@accueil
numérique,4,10,accueil,numérique@accueil
tin,4,11,accueil,tin@accueil
casque,4,12,accueil,casque@accueil
avaler,4,13,accueil,avaler@accueil
rail,4,14,accueil,rail@accueil
cauchemar,4,15,accueil,cauchemar@accueil
doré,4,16,accueil,doré@accueil
danser,4,17,accueil,danser@accueil
mur,4,18,accueil,mur@accueil
pâte,4,19,accueil,pâte@accueil
brûlure,4,20,accueil,brûlure@accueil
cercle,4,21,accueil,cercle@accueil
pluie,4,22,accueil,pluie@accueil
gronder,4,23,accueil,gronder@accueil
céréale,4,24,accueil,céréale@accueil
grand-père,4,25,accueil,grand-père@accueil
sursauter,4,26,accueil,sursauter@accueil
baquet,4,27,accueil,baquet@accueil
décorer,4,28,accueil,décorer@accueil
rideau,4,29,accueil,rideau@accueil
pépite,4,30,accueil,pépite@accueil
intéresser,4,31,accueil,intéresser@accueil
joyeux,4,32,accueil,joyeux@accueil
caresser,4,33,accueil,caresser@accueil
note,4,34,accueil,note@accueil
kermesse,4,35,accueil,kermesse@accueil
étude,4,36,accueil,étude@accueil
mousse,4,37,accueil,mousse@accueil
ressortir,4,38,accueil,ressortir@accueil
rêve,4,39,accueil,rêve@accueil
demande,4,40,accueil,demande@accueil
compte,4,41,accueil,compte@accueil
rouler,4,42,accueil,rouler@accueil
étable,5,0,accueil,étable@accueil
pyjama,5,1,accueil,pyjama@accueil
chance,5,2,accueil,chance@accueil
risquer,5,3,accueil,risquer@accueil
marché,5,4,accueil,marché@accueil
cheminée,5,5,accueil,cheminée@accueil
bouh,5,6,accueil,bouh@accueil
murmura,5,7,accueil,murmura@accueil
balade,5,8,accueil,balade@accueil
début,5,9,accueil,début@accueil
bascule,5,10,accueil,bascule@accueil
carole,5,11,accueil,carole@accueil
cheval,5,12,accueil,cheval@accueil
écriture,5,13,accueil,écriture@accueil
viser,5,14,accueil,viser@accueil
dortoir,5,15,accueil,dortoir@accueil
dépêche,5,16,accueil,dépêche@accueil
fragile,5,17,accueil,fragile@accueil
trompe,5,18,accueil,trompe@accueil
vin,5,19,accueil,vin@accueil
précédent,5,20,accueil,précédent@accueil
mer,5,21,accueil,mer@accueil
empoisonner,5,22,accueil,empoisonner@accueil
lise,5,23,accueil,lise@accueil
monnaie,5,24,accueil,monnaie@accueil
tigre,5,25,accueil,tigre@accueil
recette,5,26,accueil,recette@accueil
voisin,5,27,accueil,voisin@accueil
lézard,5,28,accueil,lézard@accueil
corpus,5,29,accueil,corpus@accueil
soigner,5,30,accueil,soigner@accueil
présenter,5,31,accueil,présenter@accueil
marraine,5,32,accueil,marraine@accueil
signer,5,33,accueil,signer@accueil
salon,5,34,accueil,salon@accueil
conduire,5,35,accueil,conduire@accueil
tintamarre,5,36,accueil,tintamarre@accueil
déménager,5,37,accueil,déménager@accueil
heu,5,38,accueil,heu@accueil
atre,5,39,accueil,atre@accueil
liberté,5,40,accueil,liberté@accueil
samba,5,41,accueil,samba@accueil
nettoyer,5,42,accueil,nettoyer@accueil
applique,6,0,accueil,applique@accueil
abandonner,6,1,accueil,abandonner@accueil
savon,6,2,accueil,savon@accueil
jojo,6,3,accueil,jojo@accueil
excuse-moi,6,4,accueil,excuse-moi@accueil
marque,6,5,accueil,marque@accueil
bruler,6,6,accueil,bruler@accueil
rhabiller,6,7,accueil,rhabiller@accueil
carreau,6,8,accueil,carreau@accueil
poupée,6,9,accueil,poupée@accueil
couveuse,6,10,accueil,couveuse@accueil
griffer,6,11,accueil,griffer@accueil
barrette,6,12,accueil,barrette@accueil
fée,6,13,accueil,fée@accueil
diriger,6,14,accueil,diriger@accueil
