word,row,col,page,identifier
venir,6,0,accueil,venir@accueil
rra,6,1,accueil,rra@accueil
garçon,6,2,accueil,garçon@accueil
/comme,6,3,accueil,/comme@accueil
ensuite,6,4,accueil,ensuite@accueil
quand/,6,5,accueil,quand/@accueil
mange,6,6,accueil,mange@accueil
écrirai,6,7,accueil,écrirai@accueil
mettre,6,8,accueil,mettre@accueil
regarde,6,9,accueil,regarde@accueil
bille,6,10,accueil,bille@accueil
feu,6,11,accueil,feu@accueil
éclair,6,12,accueil,éclair@accueil
donner,6,13,accueil,donner@accueil
pleuvoir,6,14,accueil,pleuvoir@accueil
appliqu,6,15,accueil,appliqu@accueil
redire,6,16,accueil,redire@accueil
/le,6,17,accueil,/le@accueil
pluie,6,18,accueil,pluie@accueil
purée,6,19,accueil,purée@accueil
anosh,6,20,accueil,anosh@accueil
il(,6,21,accueil,il(@accueil
attend,6,22,accueil,attend@accueil
fenètre,6,23,accueil,fenètre@accueil
mercredi,7,0,accueil,mercredi@accueil
classe,7,1,accueil,classe@accueil
nan,7,2,accueil,nan@accueil
asseoir,7,3,accueil,asseoir@accueil
ludovic,7,4,accueil,ludovic@accueil
beh,7,5,accueil,beh@accueil
disque,7,6,accueil,disque@accueil
tire,7,7,accueil,tire@accueil
aïe,7,8,accueil,aïe@accueil
ouais,7,9,accueil,ouais@accueil
non,7,10,accueil,non@accueil
/j',7,11,accueil,/j'@accueil
vent,7,12,accueil,vent@accueil
dormir,7,13,accueil,dormir@accueil
rouge,7,14,accueil,rouge@accueil
or-,7,15,accueil,or-@accueil
travail,7,16,accueil,travail@accueil
brosse,7,17,accueil,brosse@accueil
bon,7,18,accueil,bon@accueil
accord,7,19,accueil,accord@accueil
console,7,20,accueil,console@accueil
gagner,7,21,accueil,gagner@accueil
/hum,7,22,accueil,/hum@accueil
beal,7,23,accueil,beal@accueil
voler,8,0,accueil,voler@accueil
animer,8,1,accueil,animer@accueil
envier,8,2,accueil,envier@accueil
mère,8,3,accueil,mère@accueil
cassé,8,4,accueil,cassé@accueil
florène,8,5,accueil,florène@accueil
courir,8,6,accueil,courir@accueil
pe-,8,7,accueil,pe-@accueil
servir,8,8,accueil,servir@accueil
monsieur,8,9,accueil,monsieur@accueil
main,8,10,accueil,main@accueil
banc,8,11,accueil,banc@accueil
traverser,8,12,accueil,traverser@accueil
enlever,8,13,accueil,enlever@accueil
histoire,8,14,accueil,histoire@accueil
raymond,8,15,accueil,raymond@accueil
tomber,8,16,accueil,tomber@accueil
intéresse,8,17,accueil,intéresse@accueil
leur/,8,18,accueil,leur/@accueil
coller,8,19,accueil,coller@accueil
tête,8,20,accueil,tête@accueil
réveiller,8,21,accueil,réveiller@accueil
p-,8,22,accueil,p-@accueil
écrier,8,23,accueil,écrier@accueil
choisir,9,0,accueil,choisir@accueil
peuvent/,9,1,accueil,peuvent/@accueil
revenir,9,2,accueil,revenir@accueil
ma-,9,3,accueil,ma-@accueil
gagne,9,4,accueil,gagne@accueil
arracher,9,5,accueil,arracher@accueil
maman,9,6,accueil,maman@accueil
reprendre,9,7,accueil,reprendre@accueil
explique,9,8,accueil,explique@accueil
amusant,9,9,accueil,amusant@accueil
porte,9,10,accueil,porte@accueil
sortir,9,11,accueil,sortir@accueil
pouvoir,9,12,accueil,pouvoir@accueil
akoub,9,13,accueil,akoub@accueil
bonhomme,9,14,accueil,bonhomme@accueil
rouler,9,15,accueil,rouler@accueil
cache,9,16,accueil,cache@accueil
envie,9,17,accueil,envie@accueil
prénom,9,18,accueil,prénom@accueil
vérité,9,19,accueil,vérité@accueil
/peut,9,20,accueil,/peut@accueil
rester,9,21,accueil,rester@accueil
chat,9,22,accueil,chat@accueil
dessin,9,23,accueil,dessin@accueil
tombe,10,0,accueil,tombe@accueil
pfff,10,1,accueil,pfff@accueil
lumière,10,2,accueil,lumière@accueil
bras,10,3,accueil,bras@accueil
porte-monnaie,10,4,accueil,porte-monnaie@accueil
route,10,5,accueil,route@accueil
fff,10,6,accueil,fff@accueil
zébr,10,7,accueil,zébr@accueil
aller,10,8,accueil,aller@accueil
mieux,10,9,accueil,mieux@accueil
piéton,10,10,accueil,piéton@accueil
monnaie,10,11,accueil,monnaie@accueil
joue,10,12,accueil,joue@accueil
