word,row,col,page,identifier,is_dir,link,sim_score,Accueil,3,5
"[ajouter les personnages favoris de l'enfant (films, livres, TV, séries, musiques, ...)]",2,1,20A - PERSONNAGES,"[ajouter les personnages favoris de l'enfant (films, livres, TV, séries, musiques, ...)]@20A - PERSONNAGES",NO,,0
,3,1,20A - PERSONNAGES,6@20A - PERSONNAGES,NO,,0
oups,4,1,20A - PERSONNAGES,oups57@20A - PERSONNAGES,NO,,0
"regarder, voir",0,2,20A - PERSONNAGES,"regarder, voir3@20A - PERSONNAGES",NO,,0
faire semblant,1,2,20A - PERSONNAGES,faire semblant0@20A - PERSONNAGES,NO,,0
,2,2,20A - PERSONNAGES,7@20A - PERSONNAGES,NO,,0
20B - PERSONNAGES,3,2,20A - PERSONNAGES,tourner la page25@20A - PERSONNAGES,DIR,20B - PERSONNAGES,0
"(à) moi, mon tour",0,0,1A - PRINCIPAL,"(à) moi, mon tour@1A - PRINCIPAL",NO,,0
"(à) toi, ton tour",0,1,1A - PRINCIPAL,"(à) toi, ton tour@1A - PRINCIPAL",NO,,0
oh !,0,2,1A - PRINCIPAL,oh !0@1A - PRINCIPAL,NO,,0
dépêche-toi,1,0,1A - PRINCIPAL,dépêche-toi0@1A - PRINCIPAL,NO,,0
"stop, attends",1,1,1A - PRINCIPAL,"stop, attends@1A - PRINCIPAL",NO,,0
aider,1,2,1A - PRINCIPAL,aider0@1A - PRINCIPAL,NO,,0
encore,2,0,1A - PRINCIPAL,encore0@1A - PRINCIPAL,NO,,0
fini,2,1,1A - PRINCIPAL,fini0@1A - PRINCIPAL,NO,,0
regarde !,2,2,1A - PRINCIPAL,regarde !0@1A - PRINCIPAL,NO,,0
2A - BRANCHES,3,0,1A - PRINCIPAL,dire autre chose0@1A - PRINCIPAL,DIR,2A - BRANCHES,0
je ne sais pas,3,1,1A - PRINCIPAL,je ne sais pas@1A - PRINCIPAL,NO,,0
1B - ÉCHANGES RAPIDES,3,2,1A - PRINCIPAL,tourner la page1@1A - PRINCIPAL,DIR,1B - ÉCHANGES RAPIDES,0
oups,4,1,1A - PRINCIPAL,oups2@1A - PRINCIPAL,NO,,0
ne... pas/plus,0,0,10A - ACTIONS,ne... pas/plus3@10A - ACTIONS,NO,,0
donner,1,0,10A - ACTIONS,donner@10A - ACTIONS,NO,,0
aller,2,0,10A - ACTIONS,aller@10A - ACTIONS,NO,,0
aimer,3,0,10A - ACTIONS,aimer@10A - ACTIONS,NO,,0
faire,0,1,10A - ACTIONS,faire@10A - ACTIONS,NO,,0
"dire, parler",1,1,10A - ACTIONS,"dire, parler@10A - ACTIONS",NO,,0
venir,2,1,10A - ACTIONS,venir@10A - ACTIONS,NO,,0
10D - MOUVEMENTS,3,1,10A - ACTIONS,mouvements@10A - ACTIONS,DIR,10D - MOUVEMENTS,0
oups,4,1,10A - ACTIONS,oups22@10A - ACTIONS,NO,,0
"regarder, voir",0,2,10A - ACTIONS,"regarder, voir@10A - ACTIONS",NO,,0
chercher,1,2,10A - ACTIONS,chercher0@10A - ACTIONS,NO,,0
acheter,2,2,10A - ACTIONS,acheter@10A - ACTIONS,NO,,0
10B - ACTIONS,3,2,10A - ACTIONS,tourner la page8@10A - ACTIONS,DIR,10B - ACTIONS,0
"je, moi, mon, le mien",0,0,13A - ÉVÉNEMENTS PARTICULIERS,"je, moi, mon, le mien0@13A - ÉVÉNEMENTS PARTICULIERS",NO,,0
fabriquer,1,0,13A - ÉVÉNEMENTS PARTICULIERS,fabriquer1@13A - ÉVÉNEMENTS PARTICULIERS,NO,,0
anniversaire,2,0,13A - ÉVÉNEMENTS PARTICULIERS,anniversaire@13A - ÉVÉNEMENTS PARTICULIERS,NO,,0
cadeau,3,0,13A - ÉVÉNEMENTS PARTICULIERS,cadeau@13A - ÉVÉNEMENTS PARTICULIERS,NO,,0
aller,0,1,13A - ÉVÉNEMENTS PARTICULIERS,aller3@13A - ÉVÉNEMENTS PARTICULIERS,NO,,0
"joyeux, heureux",1,1,13A - ÉVÉNEMENTS PARTICULIERS,"joyeux, heureux@13A - ÉVÉNEMENTS PARTICULIERS",NO,,0
"fête, -er",2,1,13A - ÉVÉNEMENTS PARTICULIERS,"fête, -er@13A - ÉVÉNEMENTS PARTICULIERS",NO,,0
carte,3,1,13A - ÉVÉNEMENTS PARTICULIERS,carte@13A - ÉVÉNEMENTS PARTICULIERS,NO,,0
oups,4,1,13A - ÉVÉNEMENTS PARTICULIERS,oups36@13A - ÉVÉNEMENTS PARTICULIERS,NO,,0
avoir,0,2,13A - ÉVÉNEMENTS PARTICULIERS,avoir1@13A - ÉVÉNEMENTS PARTICULIERS,NO,,0
"invitation, inviter",1,2,13A - ÉVÉNEMENTS PARTICULIERS,"invitation, inviter@13A - ÉVÉNEMENTS PARTICULIERS",NO,,0
